ags_id;centerposition
12064428;(13.826385135448774, 52.48099500944645)
12064472;(13.900407287555122, 52.566629830598046)
12067124;(13.763772174177832, 52.41230486108339)
12067201;(13.894803089439943, 52.41835704626675)
09161000;(11.394845749729337, 48.75515318020197)
06611000;(9.460228520738012, 51.31147722885516)
05554008;(6.600715861002267, 51.85349520015306)
01002000;(10.132386954850803, 54.32473620343167)
14524330;(12.481108462316833, 50.72812146025533)
